Cve_Ent,Cve_Mun,Value
1,1,25
1,2,202
1,3,54
1,4,906
1,5,620
1,6,608
1,7,239
1,8,980
1,9,978
1,10,251
1,11,83
2,1,466
2,2,604
2,3,772
2,4,688
2,5,14
2,6,552
2,7,23
3,1,330
3,2,486
3,3,14
3,8,523
3,9,495
4,1,283
4,2,975
4,3,277
4,4,940
4,5,40
4,6,757
4,7,76
4,8,870
4,9,903
4,10,365
4,11,685
4,12,363
4,13,70
5,1,834
5,2,16
5,3,322
5,4,228
5,5,221
5,6,460
5,7,965
5,8,922
5,9,249
5,10,511
5,11,167
5,12,222
5,13,807
5,14,733
5,15,725
5,16,145
5,17,299
5,18,965
5,19,210
5,20,370
5,21,369
5,22,595
5,23,409
5,24,253
5,25,800
5,26,460
5,27,914
5,28,438
5,29,224
5,30,834
5,31,11
5,32,401
5,33,604
5,34,105
5,35,762
5,36,697
5,37,924
5,38,525
6,1,636
6,2,302
6,3,249
6,4,363
6,5,541
6,6,209
6,7,323
6,8,62
6,9,747
6,10,957
7,1,144
7,2,785
7,3,834
7,4,87
7,5,461
7,6,381
7,7,118
7,8,917
7,9,91
7,10,394
7,11,115
7,12,257
7,13,492
7,14,497
7,15,846
7,16,105
7,17,984
7,18,788
7,19,30
7,20,345
7,21,174
7,22,114
7,23,728
7,24,90
7,25,251
7,26,598
7,27,184
7,28,571
7,29,708
7,30,258
7,31,365
7,32,365
7,33,610
7,34,775
7,35,263
7,36,383
7,37,896
7,38,740
7,39,928
7,40,372
7,41,999
7,42,255
7,43,653
7,44,757
7,45,426
7,46,845
7,47,269
7,48,372
7,49,183
7,50,906
7,51,693
7,52,278
7,53,663
7,54,248
7,55,306
7,56,876
7,57,497
7,58,689
7,59,724
7,60,170
7,61,309
7,62,209
7,63,911
7,64,643
7,65,167
7,66,536
7,67,411
7,68,738
7,69,204
7,70,129
7,71,331
7,72,841
7,73,308
7,74,296
7,75,235
7,76,174
7,77,383
7,78,90
7,79,240
7,80,287
7,81,789
7,82,138
7,83,565
7,84,200
7,85,987
7,86,378
7,87,903
7,88,763
7,89,437
7,90,589
7,91,280
7,92,170
7,93,445
7,94,166
7,96,678
7,97,994
7,98,662
7,99,137
7,100,171
7,101,262
7,102,552
7,103,103
7,104,376
7,105,378
7,106,45
7,107,247
7,108,608
7,109,25
7,110,694
7,111,124
7,112,615
7,113,730
7,114,15
7,115,400
7,116,385
7,117,366
7,118,255
7,119,159
7,120,668
7,121,903
7,122,908
7,123,970
7,124,436
7,125,627
8,1,855
8,2,497
8,3,171
8,4,926
8,5,221
8,6,992
8,7,608
8,8,644
8,9,428
8,10,988
8,11,454
8,12,288
8,13,35
8,14,575
8,15,320
8,16,435
8,17,720
8,18,945
8,19,870
8,20,30
8,21,698
8,22,536
8,23,522
8,24,442
8,25,377
8,26,123
8,27,844
8,28,594
8,29,251
8,30,551
8,31,558
8,32,264
8,33,302
8,34,227
8,35,576
8,36,502
8,37,967
8,38,459
8,39,267
8,40,364
8,41,558
8,42,883
8,43,79
8,44,526
8,45,880
8,46,355
8,47,855
8,48,968
8,49,968
8,50,721
8,51,413
8,52,374
8,53,976
8,54,971
8,55,26
8,56,738
8,57,889
8,58,876
8,59,665
8,60,100
8,61,823
8,62,979
8,63,748
8,64,203
8,65,741
8,66,176
8,67,975
9,2,298
9,3,40
9,4,770
9,5,557
9,6,995
9,7,590
9,8,37
9,9,378
9,10,143
